ticker,event_ticker,rank,favored_side,entry_price,opened_at
KXBTCD-26SEP1817-T81499.99,KXBTCD-26SEP1817,8,no,0.88,2026-09-11T21:15:19.470343+00:00
KXBTCD-26SEP1817-T79999.99,KXBTCD-26SEP1817,9,no,0.78,2026-09-11T21:15:19.470396+00:00
KXBTCD-26SEP1817-T78499.99,KXBTCD-26SEP1817,10,no,0.64,2026-09-11T21:15:19.470507+00:00
KXBTCD-26SEP1817-T73499.99,KXBTCD-26SEP1817,7,yes,0.85,2026-09-11T21:15:19.470610+00:00
KXBTCD-26SEP1817-T72999.99,KXBTCD-26SEP1817,5,yes,0.88,2026-09-11T21:15:19.470661+00:00
KXBTCD-26SEP1817-T71999.99,KXBTCD-26SEP1817,9,yes,0.92,2026-09-11T21:30:28.601049+00:00
KXBTCD-26SEP1817-T77999.99,KXBTCD-26SEP1817,6,no,0.6,2026-09-11T22:15:17.328889+00:00
KXBTCD-26SEP1817-T88999.99,KXBTCD-26SEP1817,6,no,0.92,2026-09-12T00:15:19.251343+00:00
KXBTCD-26SEP1817-T81999.99,KXBTCD-26SEP1817,9,no,0.9,2026-09-12T02:45:22.302960+00:00
KXBTCD-26SEP1817-T69999.99,KXBTCD-26SEP1817,5,yes,0.97,2026-09-12T02:45:22.303115+00:00
KXBTCD-26SEP1817-T80499.99,KXBTCD-26SEP1817,10,no,0.82,2026-09-12T04:45:22.339252+00:00
KXBTCD-26SEP1817-T74999.99,KXBTCD-26SEP1817,7,yes,0.75,2026-09-12T09:30:18.824171+00:00
KXBTCD-26SEP1817-T70499.99,KXBTCD-26SEP1817,5,yes,0.95,2026-09-12T09:45:19.936939+00:00
KXBTCD-26SEP1817-T76499.99,KXBTCD-26SEP1817,8,yes,0.6,2026-09-12T14:45:21.671079+00:00
KXBTCD-26SEP1817-T82999.99,KXBTCD-26SEP1817,7,no,0.94,2026-09-12T20:15:36.874267+00:00
KXBTCD-26SEP1817-T84999.99,KXBTCD-26SEP1817,5,no,0.96,2026-09-12T21:15:18.628033+00:00
KXBTCD-26SEP1817-T83999.99,KXBTCD-26SEP1817,10,no,0.95,2026-09-12T23:45:20.225904+00:00
KXBTCD-26SEP1817-T83499.99,KXBTCD-26SEP1817,9,no,0.94,2026-09-13T02:00:26.413487+00:00
KXBTCD-26SEP1817-T77499.99,KXBTCD-26SEP1817,9,no,0.6,2026-09-13T09:45:19.523178+00:00
KXBTCD-26SEP1817-T85499.99,KXBTCD-26SEP1817,5,no,0.96,2026-09-14T02:00:21.531248+00:00
KXBTCD-26SEP1817-T69499.99,KXBTCD-26SEP1817,5,yes,0.96,2026-09-14T02:15:22.481798+00:00
KXBTCD-26SEP1817-T70999.99,KXBTCD-26SEP1817,5,yes,0.97,2026-09-14T15:30:25.264853+00:00
KXBTCD-26SEP1817-T76999.99,KXBTCD-26SEP1817,5,yes,0.76,2026-09-14T20:30:25.680117+00:00
KXBTCD-26SEP1817-T78999.99,KXBTCD-26SEP1817,7,no,0.6,2026-09-15T00:01:04.194793+00:00
KXBTCD-26SEP1817-T75999.99,KXBTCD-26SEP1817,9,no,0.6,2026-09-16T17:45:24.050247+00:00
KXBTCD-26SEP1817-T75499.99,KXBTCD-26SEP1817,5,yes,0.92,2026-09-18T04:15:18.039229+00:00
KXBTCD-26SEP1810-T78499.99,KXBTCD-26SEP1810,8,no,0.94,2026-09-18T13:15:55.173162+00:00
KXBTCD-26SEP1810-T78299.99,KXBTCD-26SEP1810,7,no,0.87,2026-09-18T13:15:55.173226+00:00
KXBTCD-26SEP1810-T77799.99,KXBTCD-26SEP1810,5,yes,0.71,2026-09-18T13:15:55.173279+00:00
KXBTCD-26SEP1810-T77699.99,KXBTCD-26SEP1810,6,yes,0.8,2026-09-18T13:15:55.173329+00:00
KXBTCD-26SEP1810-T77499.99,KXBTCD-26SEP1810,10,yes,0.91,2026-09-18T13:15:55.173377+00:00
KXBTCD-26SEP1810-T77399.99,KXBTCD-26SEP1810,9,yes,0.94,2026-09-18T13:15:55.173424+00:00
KXBTCD-26SEP1810-T78399.99,KXBTCD-26SEP1810,8,no,0.85,2026-09-18T13:30:22.356038+00:00
KXBTCD-26SEP1810-T78999.99,KXBTCD-26SEP1810,7,yes,0.74,2026-09-18T13:45:23.565082+00:00
KXBTCD-26SEP1810-T78799.99,KXBTCD-26SEP1810,9,yes,0.88,2026-09-18T13:45:23.565154+00:00
KXBTCD-26SEP1810-T78599.99,KXBTCD-26SEP1810,10,yes,0.96,2026-09-18T13:45:23.565207+00:00
KXBTCD-26SEP1810-T77899.99,KXBTCD-26SEP1810,5,yes,0.99,2026-09-18T13:45:23.565322+00:00
